Category,Code,Subcode,Subsubcode,Description,Example Quote,Notes
workInfo,jobTypeOrRole,,,What do they do in their company on a day to day basis?,"I work on a team that manages our public assets. So, our public-facing website. We have a team of editors and analysts that write content. So we just make sure they have the tools they need to publish all of that.",Inital Code
workInfo,industry,,,"What industry or economic sector do they work in (or have worked in)? e.g., finance, big tech, medical, government contracts, etc","I primarily went into investment banking first. So I've been doing that, and then later on, became venture capital",Inital Code
workInfo,companySize,,,How big the company is ,"We are 500 and some plus",Inital Code
workInfo,culture,,,"What are the non job-specific aspects of their work place like? e.g., how do they get along with their co-workers","I mentioned that we meet a few times a year and when we meet we have “team bonding” exercises and activities like that. Our company treats us pretty well and we do a lot of fun things together as a company and as our own separate teams when we do have those chances to meet together. We have very good relationships. Or, at least I do with my team and the rest of my coworkers.",Inital Code
workInfo,wfh,,,Is it remote or hybrid or in person?,"I guess hybrid, predominantly remote. But occasionally I'll go see somebody onsite or in an office.",Inital Code
workInfo,,inPerson,,the person is working in office,"It's almost all in person. So yeah, we went back to in-person in June 2020 basically because it's awfully hard to do [redacted] stuff remotely",Pass 2
workInfo,,remote,,the person is working remotely,"This role is a little bit different because it is fully remote. So like I haven't developed those close friendships with people.",Pass 2
workInfo,,hybrid,,The person is working hybrid,"It's a three days a week on Tuesday, Wednesday, and Thursday. Optionally, you can come and more.",Pass 2
workInfo,experience,,,How long have they been working in software? Both professional and scholastic,"I've been working for six years. Stuff with specifically a focus on software would probably be, I guess, three.",
define,define,,,"Their definition of a mind-altering/psychoactive substance","I would classify psychoactive as anything that's crossing blood-brain barrier. So caffeine is psychoactive, and alcohol is psychoactive.",Inital Code
drugTypes,prescriptionStimulants,,,"Quote includes or is about prescription stimulants: (Adderall, Ritalin, Vyvanse, Modafanil","That's why I was so impressed by his story about Adderall because he told me that he has ADHD. So that's why he can access to Adderall before. And when he tried it, he understood that he can work for eight hours without being tired. And yeah, I was amazed and I decided to try it as well. I talked to my psychiatrist, and yeah, I got a prescription for Adderall.",Inital Code
drugTypes,recStimulants,,,"Quote includes or is about recreational stimulants: (cocaine, meth, etc)","Granted coke's a little bit more addictive in that case, but it's chasing that feeling of cocaine. But to a certain degree, in certain things of how much are people trying to take a step back and realizing, or at least for, you know, dopaminergic agents of I'm doing this so I can work more, so I can have more output, so I can level up more. ",Inital Code
drugTypes,caffeine,,,"Quote includes or is about caffine: (coffee, tea, energy drinks)","So I would say for caffeine, I think it helps most people to wake up in the morning if they do drink coffee. I would drink coffee in the morning.",
drugTypes,cannabis,,,"Quote includes or is about cannabis: (marijuana, cbd, weed)","So, many years ago when I was in a desk job or the hybrid one where I was sometimes remote, sometimes at a desk job. The marijuana use specifically was more limited because I couldn't smoke at work right. I had to either hide it smoking in the car on the walk over to the office or whatever it was. And sometimes I just didn't do it at all just to avoid smelling like it and being found out. It's definitely more accepted these days than it was, you know, eight or nine years ago. But back then, you didn't want to walk in the office smelling like pot.",Inital Code
drugTypes,alcohol,,,"Quote includes or is about alcohol: (beer, wine)","One beer with your coworker, kind of collaborating at a restaurant or something, it tends to go well. You just...I don't know, that little buzz, that kind of little bit of happiness, just makes me work well. But then it's very easy to overdo it and just not care about the quality of the work.",Inital Code
drugTypes,tobacco,,,Quote includes or is about tobacco,"Tobacco products - I'm using vapes. How it affects me. Well, if I don't use vape, I'm always a bit nervous as well.",
drugTypes,benzos,,,Quote includes or is about benzodiazepines,"Benzodiazepines make you less anxious. So in a more social setting, they would be helpful if you are group programming. If you're giving some sort of presentation about your code, I would use it in those sorts of situations because it takes away a lot of that social anxiety, a lot of that anxiety in general. And I don't know if you've ever – you've probably heard of people taking those sorts of substances for public speaking. It kinda works the same way. Big meetings, you're explaining code, you're doing that sort of thing. It kinda helps with those things, but not so much when it comes down to programming and doing analysis and debugging and all those sorts of things.",
drugTypes,SSRIs,,,"Any reuptake inhibitor, commonly antidepressants or antianxiety medications. Examples: Zoloft, Prozac, Lexapro, Wellbutrin, etc. Prevents preemptive reuptake of neurotransmitters like serotonin or dopamine by keeping nerve channels open","So yeah, I mean, so the SSRIs, I just use 24/7. But in general, it definitely does help me be able to work. So I mean, I have pretty bad anxiety and depression and it definitely gets my brain to a point where I can engage with work and where I feel less anxiety. Yeah, I think that's true of SSRIs and also Wellbutrin. And I was hoping that the stimulants would help with focus because focus has always been really difficult for me. It ended up being the case that Wellbutrin was better than those.",
drugTypes,psychedelics,,,Quote includes or is about psychedelics,"I was curious once, but I did not do productive work on acid. But I was curious of what it would be opening? Yeah, I was very high and I thought it would be very interesting to see what all the colors, everything underlined, are different.",Inital Code
drugTypes,,microdosing,,Quote includes or is about opioids,"So microdosing acid is kinda like the opposite of Adderall. So if you have like a complicated system and you kind of, or like a difficult problem, like an actually difficult problem, it's very helpful to allow you to see it from a different perspective. I don't often microdose acid because most problems that you encounter in your job are not that difficult. In terms of just pure difficulty, it's more like you just have to think about it, or reason about it. So yeah, I don't usually use acid and in this context, but very occasionally, yes, microdosing if you're in like a big pickle or whatever, and you're just trying to figure stuff out, it can help.",Inital Code
drugTypes,opiates,,,"Quote includes or is about psychedelics, specifically in the context of micodosing","And there are certain things that I would say completely are... of substances in certain camps that you could view, 'hey this helpful?' into like it this substance definitionally harmful to the person like 'yes, something like heroin. Sure.' And but yeah, I don't know anyone that's shooting up heroin to write code.",
drugTypes,nootropics,,,"drugs, supplements, and other substances that are claimed to improve cognitive function, particularly executive functions, attention, memory, creativity, or motivation, in healthy individuals","Also, I have Russian nootropics for concentration and creativity.",
